      GNAM                 PTHP      PTHD      PTHU  GZLMt/ha      GZIN GZWIkg/hd GZWMkg/hd PMLKkg/hd      ANTQ IGZD IMPL ICVB ICVF ICWD
    1 CATTLE               0.15       0.4      0.95      0.01     0.026       544       544         9         0    1    0    0    0   99
    2 SHEEP                0.15       0.4      0.95      0.01      0.03        91        91         2       0.3    4    0    0    0  129
    3 GOATS                0.15       0.4      0.95      0.05      0.04        68        68         3       0.5    5    0    0    0  159
    4 COW_CALF             0.15       0.4      0.95      0.05     0.026       454       454         9         0    3    0   60   90  315
    5 CATTLE               0.15       0.4      0.95      0.05     0.026       360       454         9         0    3    0   60   90  315
    6 STEERS               0.15       0.4      0.95         1     0.026       320       636         0         0    2    0    0    0  229
    7 CALVES               0.15       0.4      0.95       0.5     0.026       130       454         0         0    2    1    0    0   50
    8 COW_HIGH             0.15       0.4      0.95      0.75     0.026       454       454         9         0    1    0    0    0   99
    9 NAIVE                0.99      0.99      0.99      0.01     0.026       313       454         0         0    1    1    0    0  229
   10 HAYS_STEERS          0.15       0.6      0.95      0.01     0.026       313       454         0         0    2    1    0    0  229
   11 STEERS_11            0.15       0.4      0.95      0.01     0.026       272       636         0         0    2    0    0    0  229
   12 STEERS_12            0.15       0.6      0.95      0.01     0.026       259       636         0         0    2    0    0    0  229
   13 STEERS_13            0.15       0.6      0.95      0.01     0.026       272       636         0         0    2    0    0    0  229
   14 STEERS_14            0.15       0.6      0.95      0.01     0.026       278       636         0         0    2    0    0    0  229
   15 STEERS_15            0.15       0.6      0.95      0.01     0.026       308       636         0         0    2    0    0    0  229
   16 STEERS_16            0.15       0.6      0.95      0.01     0.026       342       636         0         0    2    0    0    0  229
