   90.05   99.95
   10.50  100.95
   50.10   95.95
    0.00    0.00
    1.30    8.95
    5.10  100.95
    5.25   50.95
   20.50   80.99
    1.10   10.99
   10.05  100.90
    5.01   20.90
    5.05  100.50
    1.80    3.99
    5.10   20.95
   10.25   50.95
    3.10   20.99
   20.10   50.95
    5.10   50.30
   10.01   25.95
  400.05  600.80
   10.50  100.90
  100.01 1000.90
    1.50    3.99
    1.25    5.95
   10.10   55.90
   10.10   75.95
    5.01   50.99
    5.05   90.95
    5.10   60.90
    5.01   50.95
    5.01   50.99
   15.07   50.93
   10.50   50.95
    5.05   90.95
   50.00   10.00
     2.0     2.0     0.5     1.0     0.5     0.5     0.9    15.0    20.0   100.0
  -100.0     2.5     2.0     1.0     0.0     1.0     0.1     1.5   0.001     0.2
    10.0     0.1  0.0032     0.1     0.0    0.05     0.3    10.0    0.01     1.3
     0.3     1.0     2.0     0.6    1.01     0.0     0.5     0.7     2.0    0.01
     0.5     2.0  0.0508     1.0     3.0     0.5   0.001     0.0     0.0     0.1
    0.15     0.5     0.9    0.78  0.2468     0.9    0.78  0.2468     1.0     1.0
     0.8     0.2     1.0     1.0    0.01     2.0    10.0     0.5     0.5    0.35
    1.15    0.05    0.75   0.999    0.05  0.0075     0.0    10.0     1.0     0.5
     0.0    0.05     1.0  0.0001  0.0001     1.0   0.001   0.001     0.1     2.0
     0.1     1.0    1.12   2.242     0.0     1.0     0.9  0.0001     0.0   0.001
  0.0001     0.0     0.2     0.3  0.0667     0.2  0.0075     5.0     5.0     5.0
  28.497   1.077  0.0461    0.01                                                
   0.044    31.0    0.51    11.0                                                
                                                                                
                                                                                
                                                                                
                                                                                
    0.01     0.8     1.0     1.0     1.0    10.0     0.0     0.0     0.0     0.0
    0.05    31.0     1.0    50.0     0.0     0.0     0.0     0.0     0.0     0.0
