    #  NAME     PCD    PRIC    PLST    HRY     HRL     PWR     WDT     SPD     RC1     RC2     XLB     FCM     VR1     VR2     EFM     RTI     EMX     RR      TLD     RHT     RIN     DKH     DKI     IHC      HE      ORHI    FRCP    FPOP    CFEM    STIR      EQP
  |-----TILL------|     1       2       3       4       5       6       7       8       9      10      11      12      13      14      15      16      17      18      19      20      21      22      23       24       25      26      27      28      29          
    1 TR2W40LP POWE   16237   17861     320   12000      30     0.3       0   0.007       2     0.1    0.68    0.68    0.92       0       0       0       0       0       0       0       0       0       4       0       0       0       0       0       0 TRACTOR 2WD  4              
    2 TR2W40GS POWE   16600   18260     320   12000      30     0.3       0   0.007       2     0.1    0.53    0.68    0.92       0       0       0       0       0       0       0       0       0       4       0       0       0       0       0       0 TRACTOR 2WD  40 HP  GAS     
    3 TR2W40DS POWE   16600   18260     320   12000      30     0.3       0   0.007       2     0.1    0.42    0.68    0.92       0       0       0       0       0       0       0       0       0       4       0       0       0       0       0       0 TRACTOR 2WD  40 HP DIESE    
    4 TR2W55LP POWE   22000   24200     340   12000      41     0.3       0   0.007       2     0.1    0.68    0.68    0.92       0       0       0       0       0       0       0       0       0       4       0       0       0       0       0       0 TRACTOR 2WD  55 HP  LP      
    5 TR2W55GS POWE   22000   24200     340   12000      41     0.3       0   0.007       2     0.1    0.53    0.68    0.92       0       0       0       0       0       0       0       0       0       4       0       0       0       0       0       0 TRACTOR 2WD  55 HP  GAS     
    6 TR2W55DS POWE   22000   24200     340   12000      41     0.3       0   0.007       2     0.1    0.42    0.68    0.92       0       0       0       0       0       0       0       0       0       4       0       0       0       0       0       0 TRACTOR 2WD  55 HP DIESE    
    7 TR2W85LP POWE   34200   37620     550   12000      63     0.3       0   0.007       2     0.1    0.68    0.68    0.92       0       0       0       0       0       0       0       0       0       4       0       0       0       0       0       0 TRACTOR 2WD  85 HP  LP      
    8 TR2W85GS POWE   34200   37620     550   12000      63     0.3       0   0.007       2     0.1    0.53    0.68    0.92       0       0       0       0       0       0       0       0       0       4       0       0       0       0       0       0 TRACTOR 2WD  85 HP  GAS     
    9 TR2W85DS POWE   34200   37620     550   12000      63     0.3       0   0.007       2     0.1    0.42    0.68    0.92       0       0       0       0       0       0       0       0       0       4       0       0       0       0       0       0 TRACTOR 2WD  85 HP DIESE    
   10 TR2100LP POWE   43400   47740     525   12000      75     0.3       0   0.007       2     0.1    0.68    0.68    0.92       0       0       0       0       0       0       0       0       0       4       0       0       0       0       0       0 TRACTOR 2WD 100 HP  LP      
   11 HORSE    POWE    2190    2409     900    9000       0     0.3    3.22       1   0.002     0.1       0     0.6   0.885    0.75       0       0       0       0       0       0       0       0       4       0       0       0       0       0       0 HORSE OR MULE, DRAFT        
   12 TR2100DS POWE   43400   47740     525   12000      75     0.3       0   0.007       2     0.1    0.42    0.68    0.92       0       0       0       0       0       0       0       0       0       4       0       0       0       0       0       0 TRACTOR 2WD 100 HP DIESE    
   15 TR2135DS POWE   56288   61916     640   12000     101     0.3       0   0.007       2     0.1    0.42    0.68    0.92       0       0       0       0       0       0       0       0       0       4       0       0       0       0       0       0 TRACTOR 2WD 135 HP DIESE    
